dataset,detector,n_samples,n_detections,n_true_drifts,runtime_sec,precision,recall,f1,mean_delay,false_positives,true_positives,false_negatives
Elec2,EADD,45312,90,unknown,77.65567820798606,,,,,,,
Elec2,D3,45312,85,unknown,0.25198145798640326,,,,,,,
InsectsAbruptBalanced,EADD,52848,9,5,195.3327330420143,0.3333333333333333,0.6,0.42857142857142855,135.0,6.0,3.0,2.0
InsectsAbruptBalanced,D3,52848,9,5,1.2489359170140233,0.4444444444444444,0.8,0.5714285714285714,155.5,5.0,4.0,1.0
InsectsGradualBalanced,EADD,24150,5,1,88.86153354201815,0.0,0.0,0.0,,5.0,0.0,1.0
InsectsGradualBalanced,D3,24150,4,1,0.5691916249925271,0.0,0.0,0.0,,4.0,0.0,1.0
InsectsIncrementalBalanced,EADD,57018,1,unknown,209.03648120901198,,,,,,,
InsectsIncrementalBalanced,D3,57018,0,unknown,1.3987394160067197,,,,,,,
InsectsIncrementalAbruptBalanced,EADD,79986,14,2,296.3162855419796,0.14285714285714285,1.0,0.25,33.0,12.0,2.0,0.0
InsectsIncrementalAbruptBalanced,D3,79986,9,2,1.931327667000005,0.2222222222222222,1.0,0.3636363636363636,272.5,7.0,2.0,0.0
InsectsIncrementalReoccurringBalanced,EADD,79986,12,2,297.11292004198185,0.16666666666666666,1.0,0.2857142857142857,133.0,10.0,2.0,0.0
InsectsIncrementalReoccurringBalanced,D3,79986,11,2,1.9054584999976214,0.18181818181818182,1.0,0.3076923076923077,323.5,9.0,2.0,0.0
Luxembourg,EADD,1900,3,unknown,2.85817962497822,,,,,,,
Luxembourg,D3,1900,1,unknown,0.019946416025049984,,,,,,,
NOAAWeather,EADD,18159,11,unknown,26.203152041998692,,,,,,,
NOAAWeather,D3,18159,29,unknown,0.12120170900016092,,,,,,,
OutdoorObjects,EADD,4000,6,unknown,9.396947541012196,,,,,,,
OutdoorObjects,D3,4000,1,unknown,0.042028916999697685,,,,,,,
Ozone,EADD,2534,1,unknown,10.39013695801259,,,,,,,
Ozone,D3,2534,4,unknown,0.07177208401844837,,,,,,,
PokerHand,EADD,100000,199,unknown,128.80474399999366,,,,,,,
PokerHand,D3,100000,193,unknown,0.5823133339872584,,,,,,,
Powersupply,EADD,29928,9,unknown,27.070737458008807,,,,,,,
Powersupply,D3,29928,18,unknown,0.21587883299798705,,,,,,,
RialtoBridgeTimelapse,EADD,82250,147,unknown,172.7050862920005,,,,,,,
RialtoBridgeTimelapse,D3,82250,136,unknown,0.7056637089990545,,,,,,,
